Name,Link,Speciality Title,Speciality Appointment,Designation,Qualification,link,hospital
Dr. Adam Lau Ee Chang,doctors/dr.-adam-lau-ee-chang,General Practice,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=18&searchLocation=Cheras&phyID=776&searchPhyAndSpec=Dr. Adam Lau Ee Chang&hcsType=Specialty,Medical Officer,MD (CSMU),/malaysia/hospitals/cheras/doctors,cheras
Dr. Aiffa Syafira Binti Mohamad Amir Hamzah,doctors/dr.-aiffa-syafira-binti-mohamad-amir-hamzah,,,Medical Officer,MD (UPM),/malaysia/hospitals/cheras/doctors,cheras
Dr. Amir Bin Ramli @ Shaari,doctors/dr.-amir-bin-ramli-@-shaari,Internal Medicine,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=18&searchLocation=Cheras&phyID=721&searchPhyAndSpec=Dr. Amir Bin Ramli @ Shaari&hcsType=Specialty,Consultant Internal Medicine Physician,"MD (USM), MMed (Internal Medicine) (USM)",/malaysia/hospitals/cheras/doctors,cheras
Dr. Arun Arunasalam A/L Poraviappan,doctors/dr.-arun-arunasalam-a~l-poraviappan,Urology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=18&searchLocation=Cheras&phyID=446174690009&searchPhyAndSpec=Dr. Arun Arunasalam A%252FL Poraviappan&hcsType=Specialty,Consultant Urologist,"M Surgery (UM), FRCS (Urology) (Glasgow), Fellowship in Functional Urology (Australia)",/malaysia/hospitals/cheras/doctors,cheras
Dr. Azfar Rizal Ahmad,doctors/dr.-azfar-rizal-ahmad,Orthopedic,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=18&searchLocation=Cheras&phyID=735&searchPhyAndSpec=Dr. Azfar Rizal Ahmad&hcsType=Specialty,Consultant Orthopedic and Arthroscopic Shoulder and Knee Surgeon,"MBBS (Australia), MS (Orthopedics) (UKM), Fellowship in Sports Medicine (Singapore)",/malaysia/hospitals/cheras/doctors,cheras
Dr. Azlina Saaban,doctors/dr.-azlina-saaban,Ear Nose and Throat,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=18&searchLocation=Cheras&phyID=737&searchPhyAndSpec=Dr. Azlina Saaban&hcsType=Specialty,Consultant ENT Surgeon,"MBBS (UM), MMed (ORL-HNS) (USM)",/malaysia/hospitals/cheras/doctors,cheras
Dr. Chan Chee Keong,doctors/dr.-chan-chee-keong,Orthopedic,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=18&searchLocation=Cheras&phyID=726&searchPhyAndSpec=Dr. Chan Chee Keong&hcsType=Specialty,Consultant Orthopedic & Spine Surgeon,"MBBS (UM), M Orthopedic Surgery (UM), CMIA (NIOSH), AM (Malaysia), Fellowship in Spinal Surgery (UK & South Korea)",/malaysia/hospitals/cheras/doctors,cheras
Dr. Chaw Chee Kien,doctors/dr.-chaw-chee-kien,General Surgery,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=18&searchLocation=Cheras&phyID=724&searchPhyAndSpec=Dr. Chaw Chee Kien&hcsType=Specialty,Consultant General Surgeon,"MBBS (Australia), MS (General Surgery) (UKM)",/malaysia/hospitals/cheras/doctors,cheras
Dr. Hew Khor Farn,doctors/dr.-hew-khor-farn,Pediatrics,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=18&searchLocation=Cheras&phyID=727&searchPhyAndSpec=Dr. Hew Khor Farn&hcsType=Specialty,Consultant Pediatrician,"MD (UKM), MRCPCH (UK)",/malaysia/hospitals/cheras/doctors,cheras
Dr. Imran B. Osman,doctors/dr.-imran-b.-osman,,,Consultant Anesthetist,"MBChB (Liverpool), M. MED. (Anaes) (UKM), AM",/malaysia/hospitals/cheras/doctors,cheras
Dr. Kenneth Looi Chia Chuin,doctors/dr.-kenneth-looi-chia-chuin,Pediatrics,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=18&searchLocation=Cheras&phyID=763&searchPhyAndSpec=Dr. Kenneth Looi Chia Chuin&hcsType=Specialty,Consultant Pediatrician,"MBBS (IMU), MRCPCH (UK)",/malaysia/hospitals/cheras/doctors,cheras
Dr. Kenny Siow Cii Chow,doctors/dr.-kenny-siow-cii-chow,,,Medical Officer,MBBS (Manipal),/malaysia/hospitals/cheras/doctors,cheras
Dr. Law Zhe Kang,doctors/dr.-law-zhe-kang,Internal Medicine and Neurology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=18&searchLocation=Cheras&phyID=523870706544&searchPhyAndSpec=Dr. Law Zhe Kang&hcsType=Specialty,Consultant Internal Medicine Physician & Neurologist (Visiting),"MD (UKM), MRCP (UK), Fellowship in Neurology (Malaysia), PhD (Stroke Medicine) (UK)",/malaysia/hospitals/cheras/doctors,cheras
Dr. Manmohan Singh,doctors/dr.-manmohan-singh,Orthopedic,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=18&searchLocation=Cheras&phyID=702&searchPhyAndSpec=Dr. Manmohan Singh&hcsType=Specialty,Consultant Orthopedic & Spine Surgeon,"MS (Orthopedics) (UKM), Fellowship in Spine Surgery (Malaysia), CMIA (NIOSH)",/malaysia/hospitals/cheras/doctors,cheras
Dr. Mohd Azlan Bin Mat Soom,doctors/dr.-mohd-azlan-bin-mat-soom,,,Consultant Radiologist,"MD (UKM), Doctor of Radiology (UKM)",/malaysia/hospitals/cheras/doctors,cheras
Dr. Mohd Fadhli Mohd Yusof,doctors/dr.-mohd-fadhli-mohd-yusof,General Practice,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=18&searchLocation=Cheras&phyID=767&searchPhyAndSpec=Dr. Mohd Fadhli Mohd Yusof&hcsType=Specialty,Chief Medical Officer,"MD (UKM), OHD (NIOSH)",/malaysia/hospitals/cheras/doctors,cheras
Dr. Mohd Norazam Mohd Abas,doctors/dr.-mohd-norazam-mohd-abas,Obstetrics and Gynecology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=18&searchLocation=Cheras&phyID=506485893632&searchPhyAndSpec=Dr. Mohd Norazam Mohd Abas&hcsType=Specialty,Consultant Obstetrician & Gyneoncologist (Visiting),"MD (UKM), M OBS & Gyn (UM), Fellowship in Gyne-Oncology (Malaysia)",/malaysia/hospitals/cheras/doctors,cheras
Dr. Mohd. Razale Hassan,doctors/dr.-mohd.-razale-hassan,General Surgery,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=18&searchLocation=Cheras&phyID=725&searchPhyAndSpec=Dr. Mohd. Razale Hassan&hcsType=Specialty,Consultant General Surgeon,"MD (UKM), MS (General Surgery) (UKM)",/malaysia/hospitals/cheras/doctors,cheras
Dr. Ng Yau Piow,doctors/dr.-ng-yau-piow,Cardiology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=18&searchLocation=Cheras&phyID=853&searchPhyAndSpec=Dr. Ng Yau Piow&hcsType=Specialty,Consultant Interventional Cardiologist,"MBBS (UM), MRCP (UK)",/malaysia/hospitals/cheras/doctors,cheras
Dr. Nik Mohd Yunus Bin Mohammad,doctors/dr.-nik-mohd-yunus-bin-mohammad,Ear Nose and Throat,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=18&searchLocation=Cheras&phyID=773&searchPhyAndSpec=Dr. Nik Mohd Yunus Bin Mohammad&hcsType=Specialty,Consultant ENT Surgeon (Visiting),"MBBS (IIUM), MMed (ORL-HNS) (USM), Fellowship in Rhinology, Skullbase & Fascioplastic Surgery (Turkey)",/malaysia/hospitals/cheras/doctors,cheras
Dr. Norshida Brahim,doctors/dr.-norshida-brahim,Obstetrics and Gynecology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=18&searchLocation=Cheras&phyID=736&searchPhyAndSpec=Dr. Norshida Brahim&hcsType=Specialty,Consultant Obstetrician & Gynecologist,"MD (UKM), MMed (Obs & Gyn) (UKM)",/malaysia/hospitals/cheras/doctors,cheras
Dr. Norzian Ismail,doctors/dr.-norzian-ismail,Cardiology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=18&searchLocation=Cheras&phyID=3773&searchPhyAndSpec=Dr. Norzian Ismail&hcsType=Specialty,Consultant Interventional Cardiologist,"MD (USM), MMED (Internal Medicine) (USM)",/malaysia/hospitals/cheras/doctors,cheras
Dr. Palanyraj Naicker,doctors/dr.-palanyraj-naicker,Ophthalmology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=18&searchLocation=Cheras&phyID=241&searchPhyAndSpec=Dr. Palanyraj Naicker&hcsType=Specialty,Consultant Ophthalmologist,"MBBS (India), M Ophthalmology (UM)",/malaysia/hospitals/cheras/doctors,cheras
Dr. Peter Pragasam,doctors/dr.-peter-pragasam,Internal Medicine,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=18&searchLocation=Cheras&phyID=740&searchPhyAndSpec=Dr. Peter Pragasam&hcsType=Specialty,Consultant Internal Medicine Physician,"MBBS (India), MRCP (UK)",/malaysia/hospitals/cheras/doctors,cheras
Dr. Rohana Mohamed,doctors/dr.-rohana-mohamed,,,"Consultant Anesthetist, Critical & Intensive Care","MBBS (UM), MMed (Anesthesiology) (UKM), Fellow Intensive Care (Malaysia), European Diploma in Intensive Care (UK)",/malaysia/hospitals/cheras/doctors,cheras
