,Id,LastModified,PublicationDate,DateCreated,IncludeInSitemap,SystemSourceKey,UrlName,ItemDefaultUrl,DoctorStatus,eHealthChatUrl,MetaDescription,MetaTitle,YearsOfExperience,AppointmentURL,OpenGraphDescription,FacilityLocation,FullUrl,SubSpecialtyContent,ProfileURL,SpecialInterest,Recommendation,SpecialtyName,ConditionsTreated,OpenGraphTitle,SortNumber,QualificationAndCertifications,PhoneNo,ProceduresPerformed,HideInEHealth,LanguageSpoken,eHealthConsultUrl,Salutation,DisabledRequestForAppointment,HospitalName,Description,Title,PhoneNo2,ResidencyStatus,Provider,DoctorImage
0,0e07f0ef-6485-4801-9881-70b6c83c1baf,2023-05-16T06:06:06Z,2021-04-08T09:41:33Z,2021-04-08T09:41:35Z,True,,datuk-dr-abd-aziz-yahya,/obstetrics-and-gynaecology-og/datuk-dr-abd-aziz-yahya,Resident Consultant,,,Datuk Dr. Abd Aziz Yahya | Obstetrics and Gynaecology (O&G) | Gleneagles Hospital Kuala Lumpur,,https://gleneagles.com.my/kuala-lumpur/appointment/obstetrics-and-gynaecology-og/datuk-dr-abd-aziz-yahya,,"Suite 507, 5th Floor, Medical Consultation Suites Block",https://gleneagles.com.my/kuala-lumpur/doctors/obstetrics-and-gynaecology-og/datuk-dr-abd-aziz-yahya,,https://gleneagles.com.my/kuala-lumpur/doctors/obstetrics-and-gynaecology-og/datuk-dr-abd-aziz-yahya,,"<p style=""text-align: justify;"">Datuk Dr Abd Aziz Yahya graduated with the MBBS from the University of Malaya in 1982 and became a Specialist Obstetrician and Gynaecologist in 1988 after obtaining his qualification from the Royal College of Obstetricians and Gynaecologists in London. He spent another two and half years at the St. Mary&rsquo;s Hospital in London where he undertook further training in Gynaecological Oncology.</p>
<p style=""text-align: justify;"">He returned to Malaysia in 1990 and worked in the Academic Department of the National University Hospital and was soon appointed an Associate Professor and Head of the Gynaecological Oncology Department. </p>
<p style=""text-align: justify;"">He was awarded &ldquo;The Most Esteemed Order of Distinguished Service&rdquo; in 2007 which carries the title Datuk by His Royal Highness, The King of Malaysia.</p>
<p style=""text-align: justify;"">He is a certified Robotics Surgeon, having gone through the required training and proctorship in Singapore and South Korea. &nbsp;He did his first Robotics Assisted Hysterectomy in April 2009. &nbsp;He now performs regularly Robotics assisted gynaecological surgery for both benign and malignant conditions.</p>
<p style=""text-align: justify;"">In June 2017, he was awarded the Honorary Fellowship of The American College of Obstetricians and Gynecologists. He is currently the President of the Asian Society of Gynecological Robotic Surgeons (ASGRS).</p>
<p style=""text-align: justify;"">He was the Past President of the Obstetrical and Gynaecological Society of Malaysia and was a Board Member of the International Federation Of Obstetrics and Gynaecology.</p>",##Obstetrics and Gynaecology (O&G)##;##Gynaecological Oncology##,"<p>Gynaecological Oncology disorders, Endometriosis, PCOS, Ovarian cysts, Uterine fibroids, Uterine prolapse, Urinary Incontinence, Pre-Cancerous &nbsp;Lesions of the Cervix and Vagina.</p>",Datuk Dr. Abd Aziz Yahya | Obstetrics and Gynaecology (O&G) | Gleneagles Hospital Kuala Lumpur,999,"<p style=""text-align: justify;"">MBBS (Mal), FRCOG (UK), FAMM (Mal), FACOG (Honorary, USA), Certified Robotics Surgeon</p>",03-4141 3232  03-4251 4222,"<p>Conventional Gynaecological Oncology Surgery, Robotics Gynaecology Surgery for cancer and non-cancer diseases.</p>
<p>Manage all conditions in Obstetrics and Gynaecology, Colposcopy, Hysteroscopy.</p>",False,"English, Malay",,Datuk Dr.,False,Gleneagles Hospital Kuala Lumpur,,Abd Aziz Yahya,,1,GleneaglesDynamicModuleProvider,"[{'Title': 'Datuk Dr. Abd Aziz Yahya', 'Url': 'https://gleneagles.com.my/images/default-source/f_doctors/datuk-dr.-abd-aziz-yahyad3fc5a1a-e96c-4a87-852c-d3e2913ece27.png?sfvrsn=e442b022_16'}]"
1,d7bf8934-1d20-44b4-8556-d4ef88d61dc9,2023-05-16T06:02:22Z,2021-04-08T09:47:44Z,2021-04-08T09:47:45Z,True,,dr-abd-razak-mnhamad,/orthopaedic-trauma-surgery/dr-abd-razak-mnhamad,Resident Consultant,,"Dr Abd Razak Muhamad is a full resident consultant at Gleneagles Kuala Lumpur as a Consultant Orthopaedic Surgeon. He sub specialises in the care of children with orthopaedics condition.
",Dr. Abd Razak Muhamad | Orthopaedic & Trauma Surgery | Gleneagles Hospital Kuala Lumpur,,https://gleneagles.com.my/kuala-lumpur/appointment/orthopaedic-trauma-surgery/dr-abd-razak-mnhamad,"Dr Abd Razak Muhamad is a full resident consultant at Gleneagles Kuala Lumpur as a Consultant Orthopaedic Surgeon. He sub specialises in the care of children with orthopaedics condition.
","Specialist Clinics, 6th Floor, Block B (New Block)",https://gleneagles.com.my/kuala-lumpur/doctors/orthopaedic-trauma-surgery/dr-abd-razak-mnhamad,,https://gleneagles.com.my/kuala-lumpur/doctors/orthopaedic-trauma-surgery/dr-abd-razak-mnhamad,,"<p>Dr Abd Razak Muhamad is a full resident consultant at Gleneagles Kuala Lumpur as a Consultant Orthopaedic Surgeon. He sub specialises in the care of children with orthopaedics condition.</p><p>His main expertise and interest are in children with congenital and developmental condition as well as trauma related. He has a long and wide range of experience from the busiest paediatric service in the country i.e. Institute of Paediatrics, Hospital Kuala Lumpur during his services with the Ministry of Health.</p><p>Dr Abd Razak graduated with medical degree from University of Malaya in 1995 and subsequently completed his Masters in Surgery (Orthopaedics) in 2003 from Universiti Kebangsaan Malaysia (UKM).</p><p>He &nbsp;then joined the medical subspecialty program under &nbsp;Ministry of Health in Paediatric Orthopaedics &nbsp;from 2006 -2010 before underwent &nbsp;another year of International Fellowship training from University California of San Diego at Rady&rsquo;s Children Hospital, San Diego, California, USA from 2010 &ndash; 2011.</p>",##Orthopaedic & Trauma Surgery##;##Paediatric Orthopaedics##,"<p><b>Adults</b>: </p><p>Fractures and dislocation</p><p>Lower limb deformities</p><p>Bone and soft tissue tumour</p><p>Common hand condition i.e. carpal tunnel syndrome</p><p><b>Children:</b>&nbsp;</p><p>Fractures and dislocation</p><p>Paediatric hip condition i.e. DDH, Slipped Upper Femoral Epiphysis, Perthe&rsquo;s disease</p><p>Clubfoot (CTEV) and other foot deformities</p><p>Lower limb deformities and limb length discrepancy</p><p>Neuromuscular condition i.e. Cerebral Palsy</p>",Dr. Abd Razak Muhamad | Orthopaedic & Trauma Surgery | Gleneagles Hospital Kuala Lumpur,999,"<p>MBBS (Malaya), M.S Ortho (UKM), Fellowship in Paediatric Orthopaedics (USA)</p>",03-4141 3251 / 3252 / 3253,"<p>Fractures and/ or dislocation fixation </p><p>Soft tissue and bony procedures for deformity correction includes lengthening </p><p>Soft tissue and bone tumour excision </p><p>Common orthopaedics procedure i.e. carpal tunnel release, joint aspiration and injection</p>",False,"English, Bahasa Melayu",,Dr.,False,Gleneagles Hospital Kuala Lumpur,,Abd Razak Muhamad,,1,GleneaglesDynamicModuleProvider,"[{'Title': 'Dr. Abd Razak Muhamad', 'Url': 'https://gleneagles.com.my/images/default-source/f_doctors/dr.-abd-razak-muhamad0e455713-ae60-4531-9d9e-38b2becbea87.png?sfvrsn=c885ff0a_6'}]"
2,e1954689-9bdc-4595-a585-f35b7ef45d6c,2023-05-16T05:57:31Z,2021-04-08T09:46:24Z,2021-04-08T09:46:25Z,True,,aziz-marwan,/respiratory-medicine/aziz-marwan,Resident Consultant,,"Dr Abdul Aziz bin Marwan went to Queen’s University of Belfast, United Kingdom for his undergraduate training (MBBCh BAO) and continued his core medical training in United Kingdom for 2 years before..",Dr. Abdul Aziz Marwan | Respiratory Medicine | Gleneagles Hospital Kuala Lumpur,,https://gleneagles.com.my/kuala-lumpur/appointment/respiratory-medicine/aziz-marwan,"Dr Abdul Aziz bin Marwan went to Queen’s University of Belfast, United Kingdom for his undergraduate training (MBBCh BAO) and continued his core medical training in United Kingdom for 2 years before..","Specialist Clinic, 8th Floor, Block B",https://gleneagles.com.my/kuala-lumpur/doctors/respiratory-medicine/aziz-marwan,,https://gleneagles.com.my/kuala-lumpur/doctors/respiratory-medicine/aziz-marwan,,"<p>Dr Abdul Aziz bin Marwan went to Queen&rsquo;s University of Belfast, United Kingdom for his undergraduate training (MBBCh BAO) and continued his core medical training in United Kingdom for 2 years before deciding to specialise in Internal Medicine at Universiti Kebangsaan Malaysia, completing Master of Medicine (MMed). After an intensive work period of 3 years at a busy setting in Hospital Ampang, he furthered his interest in pulmonology training at various tertiary pulmonology centres around Klang Valley.<br /></p><p>Dr Aziz received intensive training in early detection of lung cancer and treatment, sleep medicine, intensive care medicine and infective respiratory diseases; was involved heavily with interventional pulmonology team at a referral centre, and had experienced heading the Pulmonary Hypertension clinic (Respiratory Division) in the past.</p><p>He is well verse with Internal Medicine diseases and management, but his real talent shines in Respiratory Diseases. Apart from the usual cough clinic, breathing difficulties, pleural disease and difficult to manage respiratory symptoms, he had developed his niche expertise in Interventional Pulmonology, dealing with central airway emergencies like tumour obstruction, foreign body aspiration, benign tracheal stenosis, and endo-bronchial procedures such as electromagnetic navigational bronchoscopy, endobronchial ultrasound, and trans-bronchial cryo-lung biopsy.</p><p>Patient encounter with Dr Aziz often led to satisfying consultation due to his jovial and laid-back nature. He is very approachable, easy to work with and very resourceful in difficult-to-diagnose/-manage cases. Despite his casual approach, he is very sharp in making sure patients received the most optimum approach at arriving to a diagnosis and disease management.</p><p>After years of clinical experiences, Dr Aziz joined Gleneagles Kuala Lumpur as a resident Pulmonologist and Internal Medicine specialist consultant. </p>",##Respiratory Medicine##;##Internal Medicine##,<p></p><ol><li>General respiratory disorders</li><li>Pulmonary hypertension</li><li>Interventional Pulmonology</li><li>Pleural Diseases&nbsp;</li></ol><p><br /></p><p></p><p>&nbsp;</p>,Dr. Abdul Aziz Marwan | Respiratory Medicine | Gleneagles Hospital Kuala Lumpur,999,<ul><li>MBBCh BAO (UK) </li><li>Master of Medicine (Internal Medicine) (UKM)</li><li>Fellowship of Respiratory Medicine (MOH)</li><li>National Specialist Registered for Respiratory Medicine</li></ul>,03-4141 3790 / 3791 ,<ul><li>Lung functions interpretation</li><li>Pleural procedure and ultrasound</li><li>Broncshocopy</li><li>Endobronchial ultrasounds</li><li>Boom operation</li></ul>,False,English and Bahasa Malaysia,,Dr.,False,Gleneagles Hospital Kuala Lumpur,,Abdul Aziz Marwan,,1,GleneaglesDynamicModuleProvider,"[{'Title': 'Dr. Abdul Aziz Marwan', 'Url': 'https://gleneagles.com.my/images/default-source/f_doctors/dr.-abdul-aziz-marwan2fa08070-65af-4738-9c35-9a2710dfbcdf.jpg?sfvrsn=275d7d92_13'}]"
3,791a09a5-4f92-40e2-b582-53c4d81c0985,2023-05-16T06:04:19Z,2021-04-08T09:42:45Z,2021-04-08T09:42:46Z,True,,dr-abdul-jamal-mohd-thalha,/orthopaedic-trauma-surgery/dr-abdul-jamal-mohd-thalha,Resident Consultant,,,Dr. Abdul Jamal Mohd Thalha | Orthopaedic & Trauma Surgery | Gleneagles Hospital Kuala Lumpur,,https://gleneagles.com.my/kuala-lumpur/appointment/orthopaedic-trauma-surgery/dr-abdul-jamal-mohd-thalha,Dr Abdul Jamal Mohd Thalha - Gleneagles Hospital Kuala Lumpur,"Sports Medicine & Physiotherapy Centre, Block B, 5th Floor",https://gleneagles.com.my/kuala-lumpur/doctors/orthopaedic-trauma-surgery/dr-abdul-jamal-mohd-thalha,,https://gleneagles.com.my/kuala-lumpur/doctors/orthopaedic-trauma-surgery/dr-abdul-jamal-mohd-thalha,,,##Orthopaedic & Trauma Surgery##,"Knee & Hip Replacement, Arthroscopic Surgery of Shoulder & Knee",Dr. Abdul Jamal Mohd Thalha | Orthopaedic & Trauma Surgery | Gleneagles Hospital Kuala Lumpur,999,Fellowship in Arthroplasty and Arthroscopy (Aus)  Master in Ortho (UKM)  MD (UKM)  B.Med Sc (UKM),03-4141 3368 / 3369,,False,,,Dr.,False,Gleneagles Hospital Kuala Lumpur,,Abdul Jamal Mohd Thalha,,1,GleneaglesDynamicModuleProvider,"[{'Title': 'Dr. Abdul Jamal Mohd Thalha', 'Url': 'https://gleneagles.com.my/images/default-source/f_doctors/dr.-abdul-jamal-mohd-thalhaa3f5e164-ab4f-4703-afa7-5aeca498c3fd.jpg?sfvrsn=a2821e08_6'}]"
4,2c0a6398-4a8a-49a4-aed9-da43c5f9666c,2023-05-16T06:02:57Z,2021-04-08T09:48:02Z,2021-04-08T09:48:03Z,True,,dr.-abdul-kadir-bin-abu-bakar,/psychiatry/dr.-abdul-kadir-bin-abu-bakar,Resident Consultant,,Dr Abdul Kadir bin Abu Bakar - Gleneagles Hospital Medini Johor,Dr. Abdul Kadir bin Abu Bakar | Psychiatry | Gleneagles Hospital Medini Johor,,https://gleneagles.com.my/medini-johor/appointment/psychiatry/dr.-abdul-kadir-bin-abu-bakar,Dr Abdul Kadir bin Abu Bakar - Gleneagles Hospital Medini Johor,"402, Level 4, Specialist Clinics Complex",https://gleneagles.com.my/medini-johor/doctors/psychiatry/dr.-abdul-kadir-bin-abu-bakar,,https://gleneagles.com.my/medini-johor/doctors/psychiatry/dr.-abdul-kadir-bin-abu-bakar,,,##Psychiatry##,"<div>Privileges to evaluate, treat and to provide consultation for: -</div>
<ul>
    <li>Behavioural Disorders</li>
    <li>Disruptive Behaviour</li>
    <li>Eating Disorders</li>
    <li>Mental Disorders arising from Medical Conditions</li>
    <li>Mental Retardation, developmental disorders of childhood</li>
    <li>Mood disorders</li>
    <li>Sexual Abuse, physical abuse, neglect</li>
    <li>Substance Abuse</li>
    <li>Suicidal Tendency</li>
</ul>",Dr. Abdul Kadir bin Abu Bakar | Psychiatry | Gleneagles Hospital Medini Johor,999,"MBBCh (Hons) MMED(Psy), MD",,"<ul>
    <li>Behavioural intervention</li>
    <li>D5Psychological assessment for adults</li>
</ul>",False,"English, Malay",https://gleneaglesjohor.ehealth.com.my/#selectDateTime/2564,Dr.,False,Gleneagles Hospital Medini Johor,,Abdul Kadir bin Abu Bakar,,1,GleneaglesDynamicModuleProvider,"[{'Title': 'Dr. Abdul Kadir bin Abu Bakar', 'Url': 'https://gleneagles.com.my/images/default-source/f_doctors/dr.-abdul-kadir-bin-abu-bakarff56abd0-00e7-426c-a4c6-cccb35dd5391.jpg?sfvrsn=52ecd05d_6'}]"
5,61b02d95-e6c0-4c1d-92df-780b13876ea5,2023-05-16T06:06:31Z,2021-04-08T09:44:13Z,2021-04-08T09:44:14Z,True,,datuk-dr.-abdul-rahman-bin-ismail,/cardiothoracic-surgery/datuk-dr.-abdul-rahman-bin-ismail,Resident Consultant,,"Datuk Dr. Hj. Abdul Rahman Ismail underwent medical degree course at medical school in University of Malaya from 1981 to 1986. He graduated with M.B.B.S. (Malaya) in 1986, and started working with...",Datuk Dr. Abdul Rahman bin Ismail | Cardiothoracic Surgery | Gleneagles Hospital Medini Johor,,https://gleneagles.com.my/medini-johor/appointment/cardiothoracic-surgery/datuk-dr.-abdul-rahman-bin-ismail,"Datuk Dr. Hj. Abdul Rahman Ismail underwent medical degree course at medical school in University of Malaya from 1981 to 1986. He graduated with M.B.B.S. (Malaya) in 1986, and started working with...","704, Level 7, Specialist Clinics Complex",https://gleneagles.com.my/medini-johor/doctors/cardiothoracic-surgery/datuk-dr.-abdul-rahman-bin-ismail,,https://gleneagles.com.my/medini-johor/doctors/cardiothoracic-surgery/datuk-dr.-abdul-rahman-bin-ismail,,"<p>Datuk Dr. Hj. Abdul Rahman Ismail underwent medical degree course at medical school in University of Malaya from 1981 to 1986. He graduated with M.B.B.S. (Malaya) in 1986, and started working with Ministry of Health since January 1987. His first posting was in Sarawak General Hospital (housemanship). </p>
<p>In mid-1988, he was transferred to Kemaman District Hospital, Terengganu as a medical officer. Underwent post-graduate studies (master programme in General Surgery) at the Department of Surgery in National University of Malaysia from 1990 to 1994. After completed the programme, and obtained Master in General Surgery (UKM) in 1994, he worked as a general surgeon at Kuala Lumpur Hospital in 1995. He then decided to choose Cardiothoracic Surgery as his subspecialty; and joined the Ministry of Health fellowship training programme in Cardiothoracic Surgery. </p>
<p>During four years period (End of 1995 to 1999), he underwent training at Penang Hospital; at National Heart Institute (IJN) in Kuala Lumpur; and at Monash Medical Centre in Australia. After completed training, he was gazzetted as a Cardiothoracic Surgeon in 2000. Underwent Fellowship oversea team training in VATS Lobectomy at Seoul National University Bundang Hospital (for a month) in September 2013.&nbsp;</p>",##Cardiothoracic Surgery##,"<div>&bull;	Coronary artery disease or blockages of the arteries in the heart</div>
<div>&bull;	Blockages in the heart valve(s)</div>
<div>&bull;	Leaking heart valve(s)</div>
<div>&bull;	Abnormal enlargement or aneurysms of the large arteries in the chest</div>
<div>&bull;	Heart failure</div>
<div>&bull;	Atrial fibrillation etc</div>",Datuk Dr. Abdul Rahman bin Ismail | Cardiothoracic Surgery | Gleneagles Hospital Medini Johor,999,"M.B.B.S (MALAYA), M.S SURGERY (UKM) , Fellowship Programme Cth MOH (Malaysia)",,"<style type=""text/css"">
    &lt;!--td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}--&gt;
</style>
Core Procedures<br />
<br />
&bull; Insertion/removal of intra-aortic balloon<br />
<br />
Heart<br />
&bull; Congenital heart disease - open heart surgery<br />
&bull; Coronary artery bypass graft<br />
&bull; Heart Valve Surgery: Repair / Replacement<br />
&bull; Patent ductus arteriosus, ligation<br />
&bull; Pericardial disease, pericardiectomy<br />
&bull; Pericardial effusion, paracentesis / transthoracic drainage<br />
&bull; Aortic aneurysm, excision and insertion of graft<br />
&bull; Proximal aortic aneurysm, aortic root replacement with coronary artery re-implantation<br />
&bull; Surgical procedures for the correction of arrhythmia                <br />
<br />
Lung<br />
&bull; Pneumonectomy/lobectomy/segmental resection<br />
<br />
Thorax<br />
&bull; Resection of rib and open exploration / Drainage of thoracic cavity<br />
&bull; Mediastinal tumor resection<br />
<br />
Trachea<br />
&bull; Foreign body, removal<br />
&bull; Tracheostomy<br />
<br />
Others<br />
&bull; Pleurodesis<br />
&bull; Temporary Pace Wire Insertion&nbsp; &nbsp; &nbsp; &nbsp;&nbsp;<br />",False,"English, Malay",,Datuk Dr.,False,Gleneagles Hospital Medini Johor,,Abdul Rahman bin Ismail,,1,GleneaglesDynamicModuleProvider,"[{'Title': 'Datuk Dr. Abdul Rahman bin Ismail', 'Url': 'https://gleneagles.com.my/images/default-source/f_doctors/datuk-dr.-abdul-rahman-bin-ismailcdc2039a-46b1-47da-91c3-7bcf81e0436a.jpg?sfvrsn=f2411e75_6'}]"
6,afb89bfe-f49c-4153-b3de-ade45a8ed389,2023-05-31T01:15:22Z,2021-04-08T09:46:07Z,2021-04-08T09:46:08Z,True,,dato-dr-adel-zaatar,/oncology/dato-dr-adel-zaatar,Resident Consultant,,,Dato' Dr. Adel Zaatar | Oncology | Gleneagles Hospital Penang,,https://gleneagles.com.my/penang/appointment/oncology/dato-dr-adel-zaatar,,"402, 4th Floor, Block B",https://gleneagles.com.my/penang/doctors/oncology/dato-dr-adel-zaatar,,https://gleneagles.com.my/penang/doctors/oncology/dato-dr-adel-zaatar,,"<p>Dato&rsquo; Dr Adel Zaatar has more than forty-five years of experience in the field of Radiotherapy and Medical Oncology, in the management of malignant tumours in general and breast, lung, prostate, brain, stomach, pancreas, colorectal cancer, cervical and ovarian cancer, head and neck cancers, sarcoma, childhood cancers and nasopharyngeal carcinoma, in particular.</p>
<p>He has been the Principal Investigator for many clinical trials for lung cancer, breast, pancreas, nasopharynx and colorectal cancers. Several of these studies have been published in international journals.</p>
<p>Dr Zaatar is a member of the Royal College of Radiologists UK, the European Society for Medical Oncology (ESMO), the Malaysian Oncological Society and the Academy of Medicine of Malaysia.</p>
<p>He has worked in the Department of Radiotherapy and Nuclear Medicine at Cairo Medical School in Egypt, Beatson Oncology Centre in Glasgow, United Kingdom, and at the Department of Radiotherapy and Oncology at Cork Medical School and Cork Regional Hospital in Ireland. He joined Mount Miriam Hospital Penang in 1985 as senior Consultant Radiotherapist and Oncologist until February 2011.</p>
<p>Dato&rsquo; Dr Zaatar joined Gleneagles Penang on 1<sup>st</sup> March 2011 as Consultant Radiotherapist and Oncologist.&nbsp; &nbsp;</p>
<p>Dato&rsquo; Dr Zaatar has contributed greatly towards cancer management in Malaysia and in recognition of his service, has been awarded the Darjah Setia Pangkuan Negeri in 2000 which carries the title Dato&rsquo; and the Pingat Kelakuan Terpuji in 1991 from the Yang di-Pertua Negeri Pulau Pinang.</p>",##Oncology##;##Radiotherapy##,"<p>Management of all solid tumours including breast, lung, head and neck cancers, brain, nasopharynx, stomach, pancreas, colorectal, prostate, cervical and ovarian cancer, sarcoma and childhood cancers.</p>",Dato' Dr. Adel Zaatar | Oncology | Gleneagles Hospital Penang,999,"<p>DSPN, PKT, MB Bch(Cairo), DMRT(Cairo), DMRO(London), AM</p>",+604-222 9196,"<p>- Neo-adjuvant, adjuvant and concurrent&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </p>
<p>&nbsp;&nbsp; Radiotherapy using:</p>
<p>&nbsp;&nbsp; Conformal / IMRT / SRS / SBRT / VMAT</p>
<p>- Brachytherapy</p>
<p>- Chemotherapy</p>",False,"English, Arabic",,Dato' Dr.,False,Gleneagles Hospital Penang,,Adel Zaatar,,1,GleneaglesDynamicModuleProvider,"[{'Title': ""Dato' Dr. Adel Zaatar"", 'Url': ""https://gleneagles.com.my/images/default-source/f_doctors/dato'-dr.-adel-zaatar8f18db6f-b830-4eaf-9097-e13da805fa18.jpg?sfvrsn=8594b259_8""}]"
7,d245feb4-fa25-4494-9c81-b49150ccb171,2023-05-16T06:04:43Z,2023-01-04T06:57:06Z,2023-01-04T06:57:06Z,True,,adli-azam-mohammad-razi,/cardiothoracic-surgery/adli-azam-mohammad-razi,Resident Consultant,,Dr.,Dr. Adli Azam Mohammad Razi | Cardiothoracic Surgery | Gleneagles Hospital Medini Johor,,https://gleneagles.com.my/medini-johor/appointment/cardiothoracic-surgery/adli-azam-mohammad-razi,Dr.,504,https://gleneagles.com.my/medini-johor/doctors/cardiothoracic-surgery/adli-azam-mohammad-razi,,https://gleneagles.com.my/medini-johor/doctors/cardiothoracic-surgery/adli-azam-mohammad-razi,,,##Cardiothoracic Surgery##,,Dr. Adli Azam Mohammad Razi | Cardiothoracic Surgery | Gleneagles Hospital Medini Johor,999,"MD (UKM), MS.Surgery (Malaya), Fellowship in Thoracic Surgery (SNUBH, Korea)",+6075601000 ext.3077,,False,"English, Malay",,Dr.,False,Gleneagles Hospital Medini Johor,,Adli Azam Mohammad Razi,,1,GleneaglesDynamicModuleProvider,"[{'Title': 'Dr.Adli', 'Url': 'https://gleneagles.com.my/images/default-source/f_-accreditation/dr.adli.jpg?sfvrsn=22833c06_7'}]"
8,08e3d081-e0b4-4894-99f9-cd918891d19c,2023-05-16T06:02:04Z,2021-04-08T09:47:28Z,2021-04-08T09:47:29Z,True,,dr-adrian-goh,/paediatrics/dr-adrian-goh,Resident Consultant,,,Dr. Adrian Goh | Paediatrics | Gleneagles Hospital Kuala Lumpur,,https://gleneagles.com.my/kuala-lumpur/appointment/paediatrics/dr-adrian-goh,Dr Adrian Goh - Gleneagles Hospital Kuala Lumpur,"Suite 708, 7th Floor, Medical Consultation Suites Block",https://gleneagles.com.my/kuala-lumpur/doctors/paediatrics/dr-adrian-goh,,https://gleneagles.com.my/kuala-lumpur/doctors/paediatrics/dr-adrian-goh,,,##Paediatrics##,-,Dr. Adrian Goh | Paediatrics | Gleneagles Hospital Kuala Lumpur,999,"MBBS (UM), MPaed (UM), MRCP (UK), PICM (Australia)",03-4252 2118 03-4252 8712 03-4252 2018,,False,,,Dr.,False,Gleneagles Hospital Kuala Lumpur,,Adrian Goh,,1,GleneaglesDynamicModuleProvider,"[{'Title': 'Dr. Adrian Goh', 'Url': 'https://gleneagles.com.my/images/default-source/f_doctors/dr.-adrian-goh7492edc9-8055-49de-9dbb-05ceb95c2cfd.png?sfvrsn=5285b581_13'}]"
9,2c05f371-49d9-4c32-931f-2ff30ddbcb00,2023-05-16T06:01:22Z,2021-04-08T09:40:26Z,2021-04-08T09:40:27Z,True,,dr-adzlina-jaaffar,/obstetrics-and-gynaecology-og/dr-adzlina-jaaffar,Resident Consultant,,,Dr. Adzlina Jaaffar | Obstetrics and Gynaecology (O&G) | Gleneagles Hospital Kuala Lumpur,,https://gleneagles.com.my/kuala-lumpur/appointment/obstetrics-and-gynaecology-og/dr-adzlina-jaaffar,"Dr Adzlina Jaaffar worked at the Selly Oak Hospital and The Bellevue Medical Centre Birmingham, UK from 1999 to 2000 before returning to Malaysia in 2001...","Specialist Clinic, 7th Floor, Block B (New Block)",https://gleneagles.com.my/kuala-lumpur/doctors/obstetrics-and-gynaecology-og/dr-adzlina-jaaffar,,https://gleneagles.com.my/kuala-lumpur/doctors/obstetrics-and-gynaecology-og/dr-adzlina-jaaffar,,"<ul><li>Worked at the Selly Oak Hospital and The Bellevue Medical Centre Birmingham, UK from 1999 to 2000 before returning to Malaysia in 2001</li><li>Has worked in Obsterics &amp; Gynaecology departments of Hospital Selayang, Hospital Universiti Sains Malaysia and Hospital Kajang between 2001 and 2016 </li><li>Obtained Masters in Obstetrics &amp; Gynaecology from Universiti Sains Malaysia in 2009</li><li>Passionate in promoting breast feeding practices and has been providing counselling for patients and training of medical personnel.</li><li>Has special interest in minimally invasive surgeries and able to perform total laparocopic hysterectomy, laparoscopic ovarian cystectomy and laparoscopic myomectomy.</li></ul>",##Obstetrics and Gynaecology (O&G)##,"<style type=""text/css"">&amp;lt;!--td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}--&amp;gt;</style><ul><li>Obstetrics cases. </li><li>Placenta praevia</li><li>Twin pregnancy </li><li>Contraceptions </li><li>Gynaecological disorders </li><li>Endometriosis </li><li>Uterine fibroids</li><li>Ovarian cysts</li><li>Subfertility </li><li>PCOS </li><li>Menopause</li></ul>",Dr. Adzlina Jaaffar | Obstetrics and Gynaecology (O&G) | Gleneagles Hospital Kuala Lumpur,999,"<style type=""text/css"">&lt;!--td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}--&gt;</style>MBChB(UK) , Master in Obstetrics &amp; Gynaecology (USM)",03-4141 3821 /3822/3823,<ul><li>Caesarean section </li><li>Ventouse delivery </li><li>Forcep delivery</li><li>Hysteroscopic resection of myoma</li><li>Hysteroscopic resection of endometrial polyp</li><li>Dilatation &amp; curettage </li><li>Hysterectomy (laparotomy and laparoscopy)</li><li>Cystectomy (laparotomy &nbsp;and laparoscopy) Myomectomy (laparotomy and laparoscopy)</li><li>Tubal ligation</li><li>Colposcopy</li><li>LLETZ</li><li>Female ultrasound scans (abdominal and transvaginal) Intrauterine insemination</li></ul>,False,"English, Malay",,Dr.,False,Gleneagles Hospital Kuala Lumpur,,Adzlina Jaaffar,,1,GleneaglesDynamicModuleProvider,"[{'Title': 'Dr. Adzlina Jaaffar', 'Url': 'https://gleneagles.com.my/images/default-source/f_doctors/dr.-adzlina-jaaffar8f8dd614-e83e-4c6b-8e49-c16b9564c114.png?sfvrsn=fef9ce65_9'}]"
